event_date,daily_trx
2023-07-22,50932
2020-04-26,1098
2020-09-06,2691
2021-10-30,10740
2021-09-13,8425
2022-11-23,40896
2020-06-14,1801
2023-09-12,56309
2020-12-23,7408
2023-01-08,26041
2023-12-28,224120
2023-10-12,51656
2022-07-22,38881
2023-02-19,22950
2021-01-14,9344
2021-09-30,13184
2021-01-29,8872
2023-11-03,105281
2023-10-25,107373
2022-01-19,6598
2019-12-08,1567
2020-03-15,1477
2020-07-26,1653
2023-04-30,44247
2020-11-23,4107
2022-07-07,56364
2019-09-14,1845
2023-12-11,93730
2020-01-16,2618
2022-02-05,7164
2023-03-17,35360
2023-08-26,102846
2022-09-24,29696
2021-11-28,11968
2022-04-07,8993
2021-04-03,12614
2022-05-15,5991
2023-05-30,93199
2022-12-05,63517
2021-08-18,6873
2020-01-29,3368
2023-07-07,48069
2020-05-30,2369
2023-09-29,200538
2020-09-15,3145
2021-07-03,7309
2021-10-17,4024
2023-11-20,83773
2022-06-22,8748
2023-06-26,112603
2021-12-07,9952
2022-09-09,38654
2019-11-17,1907
2021-08-01,6768
2020-12-08,7452
2021-03-08,9802
2022-03-27,6169
2023-04-11,71606
2024-01-23,67868
2020-02-18,2699
2022-12-22,48776
2022-08-06,35314
2022-08-25,51068
2023-02-28,92932
2023-08-14,66750
2019-10-05,2618
2022-10-05,49742
2022-10-31,77752
2020-10-02,4624
2019-08-28,1331
2021-05-15,5342
2021-07-23,6771
2020-08-08,3009
2021-03-19,3739
2020-02-29,3018
2023-05-15,63234
2022-04-22,8863
2020-11-04,5038
2019-10-31,3311
2020-05-15,2004
2021-01-03,3627
2022-10-16,21117
2022-03-07,10867
2021-02-21,3559
2022-06-03,11315
2023-04-07,43747
2020-07-09,2840
2022-01-14,6944
2019-10-22,2246
2022-09-26,57078
2022-03-21,7841
2020-07-07,3034
2020-02-12,2812
2020-06-24,2714
2022-04-28,18815
2019-10-16,2286
2019-11-06,3039
2022-07-24,24106
2020-12-28,10473
2022-02-03,12919
2021-05-17,6547
2023-09-10,32898
2020-08-10,3175
2022-12-20,53097
2023-12-22,79200
2023-06-01,90254
2021-08-24,7688
2021-09-02,11340
2023-08-08,63155
2020-04-28,1999
2022-10-22,37451
2020-01-31,3362
2022-11-17,65493
2020-06-16,2519
2023-08-28,150960
2020-12-06,3713
2021-03-25,6394
2023-04-28,94272
2023-04-13,40989
2020-03-06,2811
2023-07-28,114200
2023-03-06,55257
2021-07-05,9949
2021-11-01,7945
2023-12-05,83201
2022-03-09,7821
2020-01-14,2705
2021-02-04,7034
2022-06-05,6203
2022-06-20,7581
2021-06-01,10709
2021-08-07,6336
2020-12-25,3753
2019-11-23,3015
2023-01-23,49292
2021-04-20,10070
2021-12-30,11424
2023-09-27,135251
2022-08-08,52878
2022-01-08,7288
2020-11-06,4495
2021-10-15,6591
2022-01-21,7231
2022-11-06,27060
2023-07-13,46426
2023-03-23,44449
2019-09-03,872
2020-10-17,2805
2021-12-13,12001
2019-12-02,3081
2021-04-09,10642
2020-05-13,1509
2021-06-16,6403
2019-12-28,3153
2019-12-15,1719
2022-09-29,76212
2023-06-20,46247
2020-05-28,3262
2021-06-18,4786
2019-12-13,3011
2019-12-30,1618
2022-02-22,9850
2021-06-03,8967
2020-10-23,3202
2020-04-07,1708
2024-02-13,99190
2023-01-21,27426
2021-04-26,8436
2020-06-22,2585
2024-01-06,53109
2021-12-24,10762
2021-09-08,7864
2022-09-07,44739
2021-11-22,7552
2022-07-05,65714
2019-09-20,2512
2019-09-29,1443
2021-01-20,5072
2021-02-15,5633
2021-09-15,6793
2023-11-09,82460
2022-08-27,56591
2019-11-02,2348
2021-04-05,16281
2022-04-24,5462
2020-04-05,1246
2022-09-11,23633
2023-07-09,67235
2023-10-23,89583
2023-11-05,43998
2022-02-07,12450
2022-07-09,34408
2023-03-02,65744
2020-04-24,1654
2020-09-17,2995
2021-07-17,5093
2020-04-01,1784
2021-03-02,9698
2020-03-21,1222
2023-01-06,41108
2024-01-29,182543
2023-05-13,32186
2022-05-09,10916
2022-08-23,46506
2023-10-14,56354
2020-11-21,2882
2023-02-13,50361
2021-09-28,19877
2023-10-19,48645
2023-04-01,54104
2023-10-01,71353
2019-10-20,1622
2020-06-20,2378
2021-04-24,11213
2023-05-28,51461
2024-02-11,39461
2023-09-14,48736
2019-12-06,2670
2020-12-10,8773
2023-07-24,88476
2021-06-20,4333
2022-01-12,8604
2020-02-16,1811
2021-03-06,5254
2024-01-25,50333
2021-11-26,17485
2023-08-24,72519
2022-06-24,107606
2023-03-19,23495
2020-06-01,3511
2020-06-12,2780
2021-02-19,5158
2022-02-24,14022
2023-08-12,34705
2023-02-17,30745
2020-06-18,2586
2021-05-19,5541
2019-09-01,804
2021-09-26,5284
2023-11-07,67982
2019-12-17,3099
2022-03-11,6772
2022-10-01,48536
2021-06-14,6197
2022-08-21,23411
2019-10-18,2597
2020-06-26,3405
2024-02-09,94800
2021-07-19,6767
2019-12-04,3117
2021-12-26,7847
2021-08-20,7039
2023-05-17,45774
2023-12-26,89562
2019-11-19,2653
2020-10-21,3152
2021-05-13,6202
2021-06-05,5696
2021-01-31,5252
2021-10-28,15217
2022-10-03,76294
2023-11-22,60338
2021-07-01,11436
2022-06-07,9874
2021-02-02,8274
2021-09-17,5764
2022-02-01,10807
2020-04-30,1887
2023-06-03,49387
2022-04-26,11991
2023-04-26,72132
2023-09-08,50149
2020-11-25,3637
2021-09-06,9634
2023-05-02,84510
2023-04-09,28586
2023-04-05,52011
2020-10-04,3170
2021-10-02,9814
2022-11-02,74775
2020-01-01,1556
2021-10-19,6406
2023-12-09,58208
2022-10-18,71564
2022-07-20,42336
2020-09-04,4429
2019-10-03,2486
2022-08-04,54345
2020-11-02,3193
2020-07-11,2404
2020-07-28,3928
2022-04-09,7331
2023-01-10,46595
2023-01-19,34412
2022-03-25,8756
2022-09-22,38327
2023-06-24,90063
2022-06-01,14037
2019-08-30,1441
2021-09-11,4649
2022-01-17,6950
2023-10-10,67590
2020-03-02,3198
2024-01-08,86870
2022-12-03,40389
2022-05-13,8176
2021-03-21,2691
2020-03-17,2562
2021-07-21,6314
2020-12-21,7998
2020-01-18,2450
2022-11-21,49413
2021-01-01,8387
2019-12-11,2788
2021-01-16,4291
2022-03-05,6925
2023-04-03,89801
2019-12-26,3225
2023-08-10,56989
2022-07-26,65192
2019-11-04,2952
2023-05-11,39766
2020-03-19,2667
2020-04-03,1934
2023-04-15,36622
2022-03-23,8671
2023-01-04,58085
2022-09-28,96999
2021-12-11,6794
2019-11-21,2708
2022-06-16,7435
2023-07-01,60887
2023-03-28,125147
2021-10-10,5171
2021-09-19,3875
2024-02-19,95457
2022-04-02,8572
2021-07-13,7063
2020-06-28,2144
2021-05-02,10342
2023-06-05,80109
2024-01-03,70034
2020-10-06,4428
2020-05-26,4584
2020-10-19,3327
2020-01-12,1858
2021-02-17,5475
2023-12-07,65965
2023-07-26,73560
2019-10-01,2399
2019-09-18,1512
2020-03-04,2838
2021-04-22,5884
2020-02-14,3116
2022-12-18,29601
2021-03-04,7972
2023-08-30,86907
2021-01-24,3411
2022-03-13,5113
2020-04-16,1491
2021-06-23,6628
2020-06-04,3224
2021-05-05,14565
2020-03-25,1338
2021-03-14,2824
2021-03-29,12367
2023-01-27,61529
2022-04-17,4628
2023-05-10,69011
2023-09-06,61679
2022-09-03,45551
2019-11-28,4132
2023-10-02,131355
2023-03-21,43046
2021-10-13,6948
2021-07-07,7910
2021-08-22,4721
2021-04-07,11437
2023-12-24,59410
2021-03-23,7061
2020-12-27,4026
2020-12-04,6917
2021-08-05,8762
2020-07-24,2957
2022-04-13,9681
2024-02-07,72372
2024-01-12,54039
2022-12-07,47043
2020-08-31,4535
